_id,title,name,body,link,tags
6013e9f8163091e59ae0114d,Pam ddylai myfyrwyr derbyn cymorth iechyd meddwl ym mhrifysgol,Anna,"Dyma flog gan Anna, o Gymru, am ei phrofiad o iechyd meddwl yn fyfyriwr, a sut y dylid cefnogi myfyrwyr yn y brifysgol i reoli'r heriau o adael cartref, dod yn annibynnol a phwysau bywyd prifysgol. ",https://www.mind.org.uk/cy/eich-straeon/pam-ddylai-myfyrwyr-derbyn-cymorth-iechyd-meddwl-ym-mhrifysgol/,others
6013e9f8163091e59ae0114e,Why students should receive mental health support at university,Anna,"Anna blogs about her mental health experiences as a student and how students need to be supported at university to manage the demands of leaving home, becoming independent and the pressure of university life. ",https://www.mind.org.uk/information-support/your-stories/why-students-should-receive-mental-health-support-at-university/,"anxiety, self esteem & confidence"
6013e9f9163091e59ae0114f,How Long Covid challenged my mental health,Brigid,"When Brigid's symptoms persisted longer than two weeks, she began to wonder whether she was imagining them.",https://www.mind.org.uk/information-support/your-stories/how-long-covid-challenged-my-mental-health/,"depression, sleeping disorders, stress, grief & loss"
6013e9f9163091e59ae01150,Mental health services: 'What is it about your outreach that makes it hard to reach our Black communities?,Isaac Ouro-Gnao,"Isaac sits on our Young Black Men's steering group supporting the delivery of our Young Black Men's programme. He is a freelance journalist, dance artist and poet. Talking to other steering group members, he explores the long-held myth of 'hard to reach' when it comes to Black people accessing mental health support and services. ",https://www.mind.org.uk/information-support/your-stories/mental-health-services-what-is-it-about-your-outreach-that-makes-it-hard-to-reach-our-black-communities/,work/professional/career
6013e9f9163091e59ae01151,Sut mae Monitro Gweithredol wedi fy helpu i ddod i dermau â fy iechyd meddwl,Gemma,"Mae Gemma, o Gaerdydd, yn esbonio sut mae ein rhaglen Monitro Gweithredol wedi ei helpu hi i ddysgu rheoli straen a gorbryder.",https://www.mind.org.uk/cy/eich-straeon/sut-mae-monitro-gweithredol-wedi-fy-helpu-i-ddod-i-dermau-â-fy-iechyd-meddwl/,others
6013e9fa163091e59ae01152,How Active Monitoring helped me come to terms with my mental health,Gemma,"Gemma, from Cardiff, explains how our Active Monitoring programme helped her learn to manage stress and anxiety.",https://www.mind.org.uk/information-support/your-stories/how-active-monitoring-helped-me-come-to-terms-with-my-mental-health/,"anxiety, stress"
6013e9fa163091e59ae01153,A letter to Bipolar,Gabi,Gabi writes to the mental health condition that almost broke her and has made her the strong person she is today.,https://www.mind.org.uk/information-support/your-stories/a-letter-to-bipolar/,self esteem & confidence
6013e9fa163091e59ae01154,Sut mae nofio wedi helpu gyda fy iechyd meddwl,Simon,"Eleni, rydyn ni'n gofyn i bobl i wneud un peth i wella eu hiechyd meddwl, gan ddefnyddio'r hashnod #GwnewchUnPeth ar Ddiwrnod Iechyd Meddwl y Byd. Dyma flog gan Simon, Pennaeth Polisi Mind Cymru, ar sut mae nofio wedi gwella ei iechyd meddwl.",https://www.mind.org.uk/cy/eich-straeon/sut-mae-nofio-wedi-helpu-gyda-fy-iechyd-meddwl/,others
6013e9fb163091e59ae01155,How swimming has helped my mental health,Simon,"This year, we are asking people to #DoOneThing for their mental health on World Mental Health Day. Here, Mind Cymru's Head of Policy, Simon, blogs about how swimming has improved his mental health. ",https://www.mind.org.uk/information-support/your-stories/how-swimming-has-helped-my-mental-health/,work/professional/career
6013e9fb163091e59ae01156,Calligraphy eased my anxiety,Kejal,Kejal blogs about how the ancient art form taught her how to relax and transformed her life.,https://www.mind.org.uk/information-support/your-stories/calligraphy-eased-my-anxiety/,others
6013e9fb163091e59ae01157,Finding inner peace in the pandemic,Liz,Temple Spa founder Liz blogs about how she has eased her anxiety during the pandemic.,https://www.mind.org.uk/information-support/your-stories/finding-inner-peace-in-the-pandemic/,anxiety
6013e9fc163091e59ae01158,Riding the pandemic,Mark,Mark blogs about how cycling has helped him cope with his coronavirus anxiety.,https://www.mind.org.uk/information-support/your-stories/riding-the-pandemic/,anxiety
6013ea89163091e59ae01159,I am anorexic and I'm not underweight,Abbie,Abbie blogs about how she learned to help herself and others cope with what's known as atypical anorexia.,https://www.mind.org.uk/information-support/your-stories/i-am-anorexic-and-im-not-underweight/,eating disorder
6013ea89163091e59ae0115a,Telephone mental health support suited me more than online support,Amy,Amy shares her experience of accessing mental health support during lockdown. Take our survey so we can make sure people are getting the right support. ,https://www.mind.org.uk/information-support/your-stories/telephone-mental-health-support-suited-me-more-than-online-support/,others
6013ea89163091e59ae0115b,Sut rwy'n hybu hyder wrth godi arian i Mind,Natasha,"Dyma flog gan Natasha, o Gaerdydd, am y modd mae ei chalendrau yn hybu hyder yn y corff a'r meddwl, wrth godi arian dros iechyd meddwl gwell.",https://www.mind.org.uk/cy/eich-straeon/sut-rwyn-hybu-hyder-wrth-godi-arian-i-mind/,others
6013ea8a163091e59ae0115c,How I'm promoting confidence while raising money for Mind,Natasha,"Natasha, from Cardiff, blogs about how her calendars promote confidence for the body and mind, all while raising money for better mental health.",https://www.mind.org.uk/information-support/your-stories/how-im-promoting-confidence-while-raising-money-for-mind/,self esteem & confidence
6013ea8a163091e59ae0115d,Adventures eased my anxiety,Rob Temple,Rob Temple blogs about how trying new things helped his recovery.,https://www.mind.org.uk/information-support/your-stories/adventures-eased-my-anxiety/,others
6013ea8a163091e59ae0115e,Rowing the Atlantic for Mental Health,"Harry, Alex, Ed and Tom","Harry, Alex, Ed and Tom blog about rowing 3,000 miles from the Canary Islands to Antigua to raise money for charities including Mind.",https://www.mind.org.uk/information-support/your-stories/rowing-the-atlantic-for-mental-health/,work/professional/career
6013ea8a163091e59ae0115f,I found online mental health support challenging,Georgia,"Georgia blogs about how although online therapy can work for a lot of people, she found it really difficult and ended up sectioned after her face-to-face therapy became digital. She's encouraging people to share their experiences in our survey about online and telephone mental health support to make sure everyone gets the right support for them.",https://www.mind.org.uk/information-support/your-stories/i-found-online-mental-health-support-challenging/,others
6013ea8b163091e59ae01160,I turned my mental health crisis into a mental health triumph.,Abby,"Abby blogs about how she was paralysed by panic attacks, sought help and now hopes to retrain as a mental health nurse.",https://www.mind.org.uk/information-support/your-stories/i-turned-my-mental-health-crisis-into-a-mental-health-triumph/,"anxiety, work/professional/career"
6013ea8b163091e59ae01161,Moving for Mind: How my anxiety doesn't define who I am,Emily,Moving for Mind: How my anxiety doesn't define who I am,https://www.mind.org.uk/information-support/your-stories/moving-for-mind-how-my-anxiety-doesnt-define-who-i-am/,anxiety
6013ea8c163091e59ae01162,A leap of faith,Ashleigh,"Ashleigh who has borderline personality disorder, blogs about how skydiving has empowered her – and raised money for Mind.",https://www.mind.org.uk/information-support/your-stories/a-leap-of-faith/,ADHD
6013ea8c163091e59ae01163,Pen pals transformed my life,Amanda,Amanda blogs about how she has made lasting friendships and boosted her mental health through a letter-writing group.,https://www.mind.org.uk/information-support/your-stories/pen-pals-transformed-my-life/,self esteem & confidence
6013ea8c163091e59ae01164,Byw gyda galar a PTSD,Anna Louise,"Dyma Anna Louise yn rhannu ei stori o ofalu am blentyn sy'n delio gyda sioc a galar, wrth ddelio â PTSD ei hun.",https://www.mind.org.uk/cy/eich-straeon/byw-gyda-galar-a-ptsd/,others
6013ea99163091e59ae01165,Living with grief and PTSD,Anna Louise,Anna Louise shares her story of looking after a child who is dealing with shock and grief while dealing with her own PTSD.,https://www.mind.org.uk/information-support/your-stories/living-with-grief-and-ptsd/,"stress, trauma, grief & loss"
6013ea9a163091e59ae01166,Why I'm hosting a virtual Christmas Crafternoon,Lynn,"Lynn tells us why, instead of cards and presents for her birthday this year, she decided to host a virtual Christmas Crafternoon to raise money for Mind.",https://www.mind.org.uk/information-support/your-stories/why-im-hosting-a-virtual-christmas-crafternoon/,others
6013ea9a163091e59ae01167,My journey through grief,Chris,Chris was suicidal after his wife died. But here he blogs about how he learnt to start living again.,https://www.mind.org.uk/information-support/your-stories/my-journey-through-grief/,grief & loss
6013ea9a163091e59ae01168,The gift of kindness,Sophia,"On the International Day of Persons with Disabilities, Sophia blogs about the importance of reaching out to people suffering with mental and physical health problems.",https://www.mind.org.uk/information-support/your-stories/the-gift-of-kindness/,others
6013ea9b163091e59ae01169,Covid made my anxiety spiral in 2020,Lauren,Lauren blogs for our Christmas appeal about the impact of the pandemic on her mental health.,https://www.mind.org.uk/information-support/your-stories/covid-made-my-anxiety-spiral-in-2020/,others
6013ea9b163091e59ae0116a,Sut cefais i fy mywyd yn ôl diolch i bresgripsiynu cymdeithasol,Nick,Dyma flog gan Nick o Ystradgynlais ynghylch sut y gwnaeth ein prosiect pregsgripsiynu cymdeithasol ei roi ar y trywydd cywir wedi iddo ddioddef argyfwng iechyd meddwl.,https://www.mind.org.uk/cy/eich-straeon/sut-cefais-i-fy-mywyd-yn-ôl-diolch-i-bresgripsiynu-cymdeithasol/,others
6013ea9b163091e59ae0116b,How social prescribing gave me my life back,Nick,Nick from Ystradgynlais blogs about how our social prescribing project helped him back on the right track after a mental health crisis.,https://www.mind.org.uk/information-support/your-stories/how-social-prescribing-gave-me-my-life-back/,self esteem & confidence
6013ea9c163091e59ae0116c,Pulling hair has blighted my life,Chrissie, Chrissie blogs about how trichotillomania has blighted her life and how she is learning to live with it.,https://www.mind.org.uk/information-support/your-stories/pulling-hair-has-blighted-my-life/,trauma
6013ea9c163091e59ae0116d,Can we just talk?,Lando Norris,McLaren F1 driver Lando Norris reveals why we should talk about mental health more… a lot more.,https://www.mind.org.uk/information-support/your-stories/can-we-just-talk/,others
6013ea9c163091e59ae0116e,Painting has helped me through the pandemic,Clarrie-Anne,Clarrie-Anne blogs about how her hobby has helped eased her lockdown anxiety – and raised money for Mind at the same time.,https://www.mind.org.uk/information-support/your-stories/painting-has-helped-me-through-the-pandemic/,anxiety
6013ea9d163091e59ae0116f,Supporting our callers during the pandemic,Steph,"Steph, who takes calls on the Mind Infoline, writes about what it's been like over the pandemic, and why you should pick up the phone if you need us, or support our work if you can.",https://www.mind.org.uk/information-support/your-stories/supporting-our-callers-during-the-pandemic/,others
